"BC_NO","BC_TITLE","BC_CONTENT","BC_WRITER","BC_DATE","BC_HIT","INTENO"
51,"독특한 라운드 포인트 디자인이 돋보이는 30평 주거 공간","오늘 보여드릴 현장은 현대아파트 24평형이에요. 
89년식 구축 아파트이지만, 문틀과 중문, 폴딩도어 등 살릴 수 있는 부분은 최대한 살리고 필름 리폼 
위주로 시공한 부분 리모델링 현장입니다.","홈시크디자인",24/04/23,0,50251
52,"작은 공간에서의 창의적 디자인과 활용 아이디어","클라이언트의 라이프스타일을 고려해 집의 동선을 설계하고,
가장 살기 좋은 집을 완성합니다. 20평대 작은 주방에 냉장고 수납과 세탁실 사용이
편리한 집으로 설계된 가양강변3단지 20평의 before & after 시공 사례를 소개합니다~","홈시크디자인",24/04/23,0,50251
53,"주거의 새로운 형태: 작지만 현대적인 집 구조","집의 구조와 동선 & 라이프 스타일에 꼭 맞는 "" 맞춤 제작 가구""와 오프 화이트 중심의
정갈함이 돋보이는 모던한 디자인으로 완성한 두산위브2단지 24평","홈시크디자인",24/04/23,0,50251
54,"주방 확장으로 더욱 편리한 생활을 위한 계획","이번 현장은 신혼부부 고객님이 거주하실 공간인데요~
공간이 전체적으로 너무 따스하고 귀엽게 디자인 되었습니다~
저희 디자인파란은 신혼부부 고객님의 로망을 실현시키기 위해
고객님과 많은 대화를 통해 원하시는 디자인과 라이프스타일을 파악하여
실용적이면서도 아름다운 공간을 완성시켜드렸답니다!
지금부터 같이 갈산한국아파트 31평 인테리어 보러가실까요??","홈시크디자인",24/04/23,0,50251
55,"조명과 에어컨이 조화로운 실내 환경을 만드는 프로젝트","오늘 만나볼 현장은 수명산파크 7단지 33평 인테리어입니다.
7단지는 2008년도에 준공된 나름 신식 아파트로
전체 톤 체인지에 중점을 맞춰 공사되었는데요~
고객님께서 가구와 오브제, 소품들로 포인트 줄
예정이었기에 군더더기 없는 깔끔한 바탕을 만들어
만족할 수 있는 휴식공간을 선물해 드렸습니다 :)","홈시크디자인",24/04/23,0,50251
56,"오래된 주택의 새로운 시작: 환골탈태 인테리어 변화","오늘은 저번 시간에 소개해 드린 래미안 위례 주방 인테리어에 대해 소개하는 시간을 가져보려 합니다!
주방은 집에서 중요한 공간 중 하나로 클라이언트 라이프 스타일과 모임의 중심이 되는 공간입니다. 
그렇기 때문에 인테리어에 있어 주방 인테리어에는 다른 공간에 비해 좀 더 신경 써 인테리어 설계를 진행하고 있어요~ 
가족분들의 삶의 질을 향상시키면서 더욱 즐거운 시간을 만들어 줄 주방 디자인과 팁, 트렌드에 대해 소개해 드리겠습니다!","디자인토미",24/04/23,0,85011
57,"독특한 디자인이 돋보이는 30평 주거 공간 리모델링","32년된 현장으로 보관이사 리모델링이 진행된 현장 입니다. 고객님께서 고민이 많으셨는데요, 현장미팅과 사무실상담으로 두달전부터 
예약을 하셔서 충분한 시간을 두고 거주하면서 불편했던 점과 개선할점들을 선택하셨습니다. 30평의 공간을 충분히 활용한 특히 공간별 
수납을 강화하여 정리정돈이 강화된 리모델링으로 거실윌플릭스,거실코너수납장,작은방윌플랙스,안방붙박이장,현관수납장,
발코니수납장등이 시공되고 전체 샷시교체공사와 현관중문 공사로 공간위 내구성을 강화하고 작은방확장공사와 부분별 단열공사로 
공간의 효율성과 내구성을 높였습니다.주방 또한 ㄱ자형태의 씽크대와 김치냉자고장,키큰장,냉장고장2대 등으로 수납을 충분히 할수 있는 리모델링으로 
욕실은 모던한 톤온톤의 그레이 욕실리모델링으로 전체  화이트베이스에 그레이컬러가 포인트로 시공되어 심플하고 모던하게 연출되었습니다.","디자인토미",24/04/23,0,85011
58,"작지만 아늑하고 효율적인 공간 활용력을 갖춘 작은집 생활"," 이번 시간에 소개해 드릴 현장은 경기도 성남시에 소재한 래미안 위례 거실 인테리어에요. 
래미안 위례의 경우 여러분들께 공간별로 소개해 드리려 합니다~ 
래미안 위례 거실을 한마디로 표현한다면 여유로움 속 트렌디함이라 표현할 수 있겠네요!","디자인토미",24/04/23,0,85011
59,"모던 아트의 조화: 현대적 감각의 거실 인테리어","화이트와 그레이의 모던하고 심플한 컨셉으로 유행을 타지 않는 고객님들께서 선호하시는 연출입니다. KCC샷시교체공사, 
거실확장공사와 현관공간분리공사로 공간의 확장성과 효율성을 높이고 단열공사를 진행하여 기존의 곰팡이제거와 내구성을 강화하였습니다.
거실과 주방을 포세린타일시공으로 고급스러움을 침실은 KCC장판시공으로,거실아트월에 디자인월판넬시공으로 밋밋한 공간을 멋을 더해주고, 
주방은 약간의 구조변경을 하여 ㄱ자씽크대와 아일랜드식탁구성으로 효율적인 공간으로 욕실은 화이트와 그레이컬러의 조화로 청결한 욕실로,
전체 LED조명과 매입조명시공으로 공간에 화사함을 더했습니다.철저한준비와 정확한 시공으로 마감지어 고객님의 만족도를 높였습니다.","디자인토미",24/04/23,0,85011
60,"자연을 담은 집: 에코 프렌들리 주거 공간 디자인","대림 1,2차 아파트 입니다. 저희가 맡게 된 현장은 24평 크기의 2베이 구조를 지닌 구축 아파트 입니다.
신혼부부께서 거주하실 곳으로 좀 더 넓은 생활 공간이 필요했기에 거실과 방의 발코니를 확장해 공간을 더 효율적으로 설계할 수 있었던 것 같습니다.","디자인토미",24/04/23,0,85011
61,"도시 속 작은 천국: 소형 아파트 공간 최적화 사례","요즘은 아파트매매현장도 있지만 보관이사리모델링 문의가 많으신데요, 기존의 살림살이를 정리정돈하고 오래되고 낡은것들을 정리하는 
과정으로 생각하시면 될거 같아요. 또 오래 거주하셨던 공간이라 무엇을 고치고 재활용할지 결정하기가 수월하죠. 살면서 불편했던 부분들을 
보완할수 있는 장점이 있습니다. 전체 샷시교체공사,거실확장,주방확장,작은방확장,단열공사등 공간의 내구성과 확장성을 확보하는 중요한 
공사가 진행되고 침실3개 공간에 공간별 붙박이장이 시공되어 수납을 강화하였습니다. 확장공사로 넓어진 거실공간은 TV아트월 목공사로 
심플하게,주방은 ㄱ자씽크대와 키큰수납장시공,욕실은 전체리모델링으로 톤온톤의 그레이컬러로 모던하게,현관은 파티션과 
신발장띄움시공과 낮은 수납장을 시공하여 공간의 효율성을 높였습니다.","디자인파란",24/04/23,0,36408
62,"엔틱과 모던의 만남: 클래식함 속 현대적 감성","욕실공사: 거실욕실,안방욕실
도배공사; 전체 씰크벽지(신한벽지)
바닥공사: KCC모노륨장판(2.2T)
가구공사: 현관신발장(우드패털,띄움시공,간접조명)
필림공사: 문틀,문선,거실기둥,거실등박스,현관파티션,현관문리폼,안방앞창고장리폼,
타일공사: 주방,현관,발코니
도장공사: 안방앞발코니,주방발코니(바이오세라믹탄성코트)
조명공사: 전체LED조명,LED방등,3인치다운라이트조명매입,조명배선증설,인터넷랜선매입,현관센서등,발코니조명.콘센트신설,감지기,스위치교체
기타공사; LED벽시계,빨래건조대, 입주청소(전문청소업체).도어락,현관줄눈코팅,기타등등.","디자인파란",24/04/23,0,36408
63,"컬러풀한 삶: 감각적인 컬러 매칭 인테리어","오늘 포스팅에서 소개해 드릴 인테리어 시공 현장은 22평형 아파트입니다.
이번 시공 현장은 전체적인 변화보다는 특정 공간에 초점을 맞춘 부분 리모델링으로 진행되었습니다.","디자인파란",24/04/23,0,36408
64,"자유롭고 개방적인 공간: 로프트 스타일 아파트","이번에 소개해 드릴 시공 사례는 짙은 우드 마감재들을 걷어낸 후에 화이트 톤을 베이스로 선명하고 깨끗한 
미니멀 인테리어로 지향해 꾸며질 수 있었던 현장이었는데요. 기존 주방 
가벽 철거 시공과 함께 특히 단열, 방수에 신경 써 공사가 진행되었습니다 :D 49평형 구옥 
아파트 인테리어 현장으로 넓은 공간이 미니멀 스타일로 어떻게 연출되었는지 지금부터 자세히 공간별로 소개해 드릴 테니 집중 부탁드립니다 :)","디자인파란",24/04/23,0,36408
65,"가족을 위한 공간 맞춤 디자인: 편안한 가족 거실","이번에는 감성이 살아 숨 쉬는 거실 공간에 대한 리모델링을 소개해 드립니다. 거실은 가족의 추억이 모이는 장소이자, 각자의 개성이 반영되는 
쉼터입니다. 그래서 우리는 클라이언트의 취향을 세심하게 반영하여, 모두가 편안함을 느낄 수 있는 공간을 창조합니다. 오늘은 현대적이면서도 
따뜻한 느낌을 주는 거실 디자인과 함께, 효율적인 공간 활용 팁을 알려드릴 예정이에요!","디자인파란",24/04/23,0,36408
66,"심플하고 세련된: 미니멀리즘 인테리어 사례","이번에는 신혼부부를 위한 아늑한 침실 인테리어를 진행했던 현장을 소개해 드리려고 해요. 침실은 개인의 휴식을 취하는 곳으로 그 어떤 공간보다 
개인의 선호가 중요하게 작용하는데요, 우리는 두 분의 로맨틱하고 평화로운 분위기를 연출하기 위해 부드러운 색감과 섬세한 조명을 활용한 디자인을 제안했습니다. 침실 공간이 어떻게 변신했는지 지켜봐 주세요.","리바트",24/04/23,0,48491
67,"창의력을 자극하는 아이 방: 꿈과 놀이가 함께하는 공간","이번 포스트에서는 아이들을 위한 맞춤형 키즈룸 인테리어를 다뤄볼까 합니다. 아이들의 상상력과 창의력이 자라나는 곳, 바로 키즈룸이죠. 안전은 물론, 재미와 교육적 요소를 접목한 디자인으로 아이들이 매일 즐거운 모험을 할 수 있는 공간을 만들어냈습니다. 벽화, 다기능 수납장, 그리고 학습 공간까지, 아이들이 꿈꿀 수 있는 모든 것을 키즈룸에 담았어요!","리바트",24/04/23,0,48491
68,"럭셔리 홈 오피스: 집에서 즐기는 최상의 업무 환경","오늘은 전원주택의 아름다운 서재 공간 인테리어를 공유하려 합니다. 서재는 조용하고 창의적인 생각이 필요한 공간이죠. 우리는 자연광을 최대한 활용하고, 나무의 따스함을 느낄 수 있는 내추럴한 소재를 사용해, 책과 함께 시간을 보내는 평화로움을 극대화했습니다. 휴식과 사색이 공존하는 서재 인테리어, 함께 살펴보시죠.","리바트",24/04/23,0,48491
69,"복고풍의 매력: 빈티지 인테리어로 시간 여행","이번에는 작은 평수 아파트의 활용도를 극대화한 주방+다이닝 공간 리모델링 사례를 소개하려고 해요. 공간이 작다고 포기할 필요 없이, 우리는 스마트한 수납 해결책과 더불어 식사와 요리가 동시에 이루어질 수 있는 멀티펑셔널 공간을 설계했습니다. 주방과 식탁이 조화롭게 어우러져, 가족 모두가 즐겁게 요리하고 식사를 할 수 있는 분위기를 조성했죠. 이 작은 공간의 대변신, 놓치지 마세요!","리바트",24/04/23,0,48491
70,"바다가 보이는 집: 해안가 인테리어 디자인","지금부터 소개할 것은 현대적인 감각이 돋보이는 욕실 리모델링입니다. 욕실은 개인의 취향을 반영하는 동시에, 청결하고 기능적인 공간이어야 합니다. 저희는 클라이언트의 스타일을 반영해 최신 트렌드를 접목한 세련된 욕실을 제작했어요. 혁신적인 수납 솔루션과 세련된 타일 조합으로, 일상의 목욕 시간을 특별한 휴식의 시간으로 변모시켰습니다.","리바트",24/04/23,0,48491
71,"평온한 아시아 풍: 동양적인 요소가 돋보이는 집"," 이번에는 현대적 감각이 돋보이는 용산 파크뷰의 거실을 재해석한 인테리어 프로젝트를 선보일 예정입니다. 거실은 가정의 얼굴이자 휴식과 소통의 장으로서 그 가치가 더욱 중요해지고 있는데요, 우리는 클라이언트가 꿈꾸는 이상적인 거실 공간을 실현하기 위해 맞춤형 디자인을 제공합니다. 쾌적한 분위기 조성은 물론, 현대적인 가구 배치와 공간 활용의 팁을 통해, 가족 모두가 만족할 수 있는 거실 공간을 만들어 드리겠습니다!","디자인덕",24/04/23,0,81779
72,"숨은 공간 활용하기: 스마트 스토리지 솔루션","고객님의 일상에 꼭 맞는 개성 있는 주거 공간을 제공합니다. 이번에는 트렌디한 감각이 돋보이는 명동 스카이 레지던스의 침실 인테리어를 소개해드리려 합니다. 침실은 개인의 휴식과 재충전을 위한 공간으로, 디자인과 기능성이 조화를 이루어야 하는 중요한 장소입니다. 맞춤형 수납장 설계로 깔끔함을 유지하면서도, 세련된 침실 디자인으로 여러분의 퀄리티 있는 삶을 지원하겠습니다. 컬러 매치부터 소품 선정까지, 디테일에 이르기까지 우리는 여러분의 침실이 단순한 잠자리가 아닌, 삶의 질을 높이는 공간이 되도록 만들어 갑니다!","디자인덕",24/04/23,0,81779
73,"한옥의 현대적 재해석: 전통과 현대의 조화","고객님의 이야기가 담긴 생활 공간을 만드는 데 집중합니다. 오늘은 근사한 강남 엘리트 하우스의 아이 방 리모델링 프로젝트를 공개합니다. 아이 방은 아이의 성장은 물론, 학습과 놀이가 함께하는 다용도 공간으로 기능해야 합니다. 우리는 고객님의 아이가 즐겁고 건강하게 자랄 수 있는 환경을 만들기 위해 안전한 재료 선택과 창의적인 공간 배치를 추구합니다. 학습 효율을 높여주는 책상 배치부터, 재미있는 놀이 공간까지, 아이의 성장 과정에 맞춘 인테리어로 가득 채울 것입니다!","디자인덕",24/04/23,0,81779
74,"앤티크와 산업적 디자인의 조화","오늘은 특별히 세련된 도시적 감성을 담은 한남동 레지던스의 거실 인테리어를 소개해 드릴 예정입니다. 이 공간은 도심 속 현대적 생활을 반영해 모더니티와 편안함을 조화롭게 담아내고자 했습니다. 집안 곳곳에 세심하게 배치된 아트워크와 함께, 휴식과 대화가 어우러지는 거실 공간을 만들어 더욱 의미 있는 시간을 보낼 수 있도록 설계했습니다.","디자인덕",24/04/23,0,81779
75,"내추럴 럭셔리: 고급스러움 속 자연스러운 미","이번에는 자연 채광을 극대화한 서초동 펜트하우스의 침실 인테리어를 보여드릴 것입니다. 이 공간은 대형 창문을 통해 들어오는 햇빛을 이용해 여유로운 아침을 맞이하실 수 있도록 디자인되었습니다. 우드 소재와 화이트 컬러를 기반으로 한 인테리어가 포근하고 안정된 수면을 도와드릴 거예요.","디자인덕",24/04/23,0,81779
76,"스칸디나비아 스타일: 밝고 통풍이 잘 되는 인테리어","오늘은 현대와 전통이 공존하는 분위기를 연출한 북촌 한옥의 다락방 인테리어를 선보이고자 합니다. 전통적인 요소를 현대적 감각으로 재해석하여, 전통의 멋과 현대적 편의성이 어우러진 고유의 공간을 만들어냈습니다. 목재와 한지를 사용한 인테리어로 고즈넉한 분위기 속에서 여유를 만끽하실 수 있습니다.","올리브인테리어",24/04/23,0,50506
77,"아티스트의 아틀리에: 창조적 공간 디자인","오늘은 활기찬 색채가 돋보이는 강남 스타일리스트 살롱의 내부 인테리어를 소개해 드립니다. 이곳은 고객님의 에너지와 창의력이 샘솟도록 활기찬 색상과 패턴으로 가득 차 있습니다.","올리브인테리어",24/04/23,0,50506
78,"호텔 같은 집: 매일이 휴가처럼 느껴지는 주거 공간","도심 한복판에서 자연과 어우러지는 휴식을 취할 수 있는 거실 인테리어를 소개해 드리고자 합니다. 우리는 집안에 식물을 풍성하게 배치하고, 자연 소재를 사용하여 공간에 생명을 불어넣었습니다. 햇빛이 잘 들어오는 창가에는 작은 허브 정원을 마련하여 신선함을 느낄 수 있도록 했죠. 자연스러운 컬러 팔레트와 목재의 따뜻함이 조화를 이루는 이 거실은 마치 숲속의 캐빈에 있는 듯한 평화로움을 선사합니다.","올리브인테리어",24/04/23,0,50506
79,"아침을 깨우는 주방: 밝고 활기찬 요리 공간","최근 재택근무가 일상이 된 만큼, 집에서도 업무에 집중할 수 있는 공간이 필수가 되었죠. 오늘은 고객님의 업무 효율성을 극대화하기 위해 디자인한 미니멀리즘 홈 오피스를 공유하려 합니다. 흰색과 검정색의 대조적인 컬러 스킴을 사용하여 집중을 방해하는 요소를 최소화했습니다. 또한, 맞춤형 책상과 수납장을 통해 최대한의 수납 공간을 확보하면서도 깔끔한 라인을 유지했습니다. 단순하지만 강력한 이 공간은 효율적인 작업환경을 만드는 데 중점을 두었습니다.","올리브인테리어",24/04/23,0,50506
80,"도심 속 힐링 스팟: 테라스 정원 디자인","오늘은 특별히 연인들을 위한 로맨틱한 침실 인테리어를 소개해 드립니다. 부드러운 조명, 따스한 패브릭, 그리고 섬세한 장식으로 이루어진 이 침실은 두 사람만의 달콤한 공간이 되도록 설계되었습니다. 벽면 하나를 선택하여 사진과 추억이 담긴 갤러리 벽을 만들고, 부드러운 커튼과 침구로 아늑함을 더했습니다. 이곳은 일상에서 벗어나 서로를 위한 시간을 만끽할 수 있는 완벽한 공간입니다.","올리브인테리어",24/04/23,0,50506
81,"골목길의 숨겨진 보석: 작은 공간의 크리에이티브 변신","오늘은 기능성과 스타일이 조화를 이룬 현대적인 주방 리모델링 사례를 보여드립니다. 고객님의 요리 활동을 고려하여 실용적인 구조의 주방을 설계하였고, 최신 가전제품을 통합하여 현대적인 편의성을 더했습니다. 세련된 메탈릭 터치와 모던한 캐비닛 디자인으로 깔끔하면서도 풍부한 저장 공간을 제공합니다. 이 주방은 모임의 중심지가 될 것이며 가족 간의 소통을 더욱 풍부하게 해줄 것입니다.","공간이좋다",24/04/23,0,20622
82,"재미있는 홈카페 스타일링: 집에서 즐기는 카페 경험","책을 사랑하는 고객님을 위해 아늑한 북 카페 스타일의 서재를 조성했습니다. 따뜻한 목재 책장과 소프트한 조명은 독서에 최적화된 환경을 제공하며, 편안한 암체어는 긴 시간 독서에도 편안함을 줍니다. 여러분의 좋아하는 커피 한 잔과 함께 책 속 세계로 빠져볼 수 있는 이 공간은 일상에서 벗어나 마음의 여유를 즐길 수 있는 특별한 곳입니다.","공간이좋다",24/04/23,0,20622
83,"고전적 우아함을 담은 거실: 헤링본 바닥과 함께","여러분의 삶에 휴식과 상쾌함을 더하는 욕실 디자인을 제안합니다. 우리는 편리함과 휴식이 공존하는 욕실 공간을 만들기 위해 현대적인 설비와 세련된 소재를 선택했습니다. 넉넉한 수납공간과 함께, 깔끔한 라인의 샤워 부스와 목욕탕을 설계하여 사용자의 편의를 최우선으로 생각했습니다. 밝은 컬러와 현대적인 질감이 조화를 이루어, 매일의 시작과 끝을 기분 좋게 할 수 있는 공간을 선사합니다.","공간이좋다",24/04/23,0,20622
84,"야외에서 즐기는 저녁: 마당을 활용한 다이닝 공간","오늘은 즐겁고 활기찬 파스텔 톤의 키즈룸을 선보입니다. 안전하고 친환경적인 소재로 아이들의 상상력을 자극하는 다채로운 디자인을 구현했습니다. 벽면에는 교육적이면서 재미있는 벽화를 그려 넣어 아이들이 즐겁게 배울 수 있는 공간을 만들었고, 키즈 가구는 사용성과 안전을 고려하여 선택했습니다. 이 공간은 아이들에게 창의력을 키우는 놀이터이자 학습 공간으로 변신합니다.","공간이좋다",24/04/23,0,20622
85,"포근한 겨울 맞이: 코지한 홈 인테리어","다이닝 룸은 단순히 식사를 하는 장소 이상의 의미를 가져야 합니다. 저희는 이번 프로젝트에서 현대적이고 심플한 디자인을 통해 다이닝 룸을 완전히 새롭게 탈바꿈시켰습니다. 세련된 테이블과 편안한 좌석이 조화를 이루며, 조명은 식사 분위기를 더욱 돋보이게 합니다. 이곳에서 가족들과 함께하는 식사 시간은 더욱 기억에 남는 순간이 될 것입니다.","공간이좋다",24/04/23,0,20622
86,"스페이스 매직: 좁은 공간을 위한 혁신적 솔루션","오늘은 빈티지한 매력과 현대적 감각이 어우러진 거실 리노베이션 사례를 소개합니다. 과거의 아름다움을 간직한 빈티지 가구와 모던한 소품들이 조화를 이루어 고유의 스타일을 창출합니다. 원목 바닥과 앤티크 장식품은 클래식한 멋을, 현대적인 소파와 테이블은 사용자의 편리성을 더해주죠. 이러한 조화로운 디자인은 거실을 더욱 독특하고 개성 있는 공간으로 만들어줍니다.","후스인",24/04/23,0,52821
87,"작업 효율을 높이는 스마트 오피스 디자인","은퇴 후 여유로운 삶을 꿈꾸시는 분들을 위한 안락한 리빙룸 디자인을 선사합니다. 우리는 취미와 휴식을 모두 즐길 수 있는 공간을 마련하여 고객님의 라이프스타일에 맞춰 진정한 휴식처를 제공합니다. 부드러운 색상의 소파와 리클라이너, 여유로운 독서 공간과 함께 음악을 감상할 수 있는 공간을 설계했습니다. 이 공간은 여러분의 새로운 취미를 발견하고, 일상의 여유를 만끽하는 곳이 될 것입니다.","후스인",24/04/23,0,52821
88,"반려동물과 함께하는 집: 펫 프렌들리 인테리어","마음의 평화를 찾을 수 있는 특별한 공간을 조성했습니다. 바쁜 일상에서 벗어나 명상과 요가를 즐길 수 있는 공간을 만들어, 고객님의 정신적, 신체적 웰빙을 지원합니다. 자연광이 가득한 방에는 부드러운 쿠션과 마음을 진정시키는 색상들로 꾸며져 있으며, 모든 요소들이 조화를 이루어 최상의 평온을 선사합니다.","후스인",24/04/23,0,52821
89,"바쁜 도시인을 위한 휴식처: 모던 젠 스타일","이번에는 스칸디나비아 디자인에서 영감을 받아, 깨끗하고 심플한 선들이 돋보이는 주방을 완성했습니다. 밝은 목재 바닥과 화이트 캐비닛, 그리고 세련된 스테인리스 스틸 조리기구가 모던함을 더해주며, 여유로운 아침 식사를 즐길 수 있는 작은 아일랜드도 설계했습니다.","후스인",24/04/23,0,52821
90,"전통과 현대의 만남: 한국적 요소가 녹아있는 현대 디자인","밝고 활기찬 색상들과 장난기 넘치는 벽화로 아이들이 마음껏 뛰어놀 수 있는 공간을 만들었습니다. 맞춤 제작된 다기능 놀이 가구는 안전하고 즐거운 놀이 환경을 제공합니다.","후스인",24/04/23,0,52821
91,"어린이 창의력을 증진시키는 색채 활용","이번에는 실외 공간을 활용하여 편안한 야외 테라스와 아름다운 정원을 조성했습니다. 향기로운 꽃들과 푸른 식물들로 둘러싸인 이곳은 친구들과의 바비큐 파티나 조용한 독서 시간을 즐기기에 완벽한 공간입니다.","케일디자인",24/04/23,0,61460
92,"베란다의 변신: 작은 공간의 대변신","중세 유럽 스타일의 식당 디자인입니다. 묵직한 목재 가구와 고딕 양식의 장식품으로 우아함과 클래식한 매력을 강조했습니다. 이 공간은 마치 중세의 성에 온 것 같은 느낌을 주며, 식사 시간을 특별한 경험으로 만들어줍니다.","케일디자인",24/04/23,0,61460
93,"영화감독의 거실: 시네마틱 인테리어","오늘은 저번 시간에 소개해 드린 래미안 위례 주방 인테리어에 대해 소개하는 시간을 가져보려 합니다!
주방은 집에서 중요한 공간 중 하나로 클라이언트 라이프 스타일과 모임의 중심이 되는 공간입니다. 
그렇기 때문에 인테리어에 있어 주방 인테리어에는 다른 공간에 비해 좀 더 신경 써 인테리어 설계를 진행하고 있어요~ 
가족분들의 삶의 질을 향상시키면서 더욱 즐거운 시간을 만들어 줄 주방 디자인과 팁, 트렌드에 대해 소개해 드리겠습니다!","케일디자인",24/04/23,0,61460
94,"비즈니스를 위한 세련된 상업 공간 디자인","32년된 현장으로 보관이사 리모델링이 진행된 현장 입니다. 고객님께서 고민이 많으셨는데요, 현장미팅과 사무실상담으로 두달전부터 
예약을 하셔서 충분한 시간을 두고 거주하면서 불편했던 점과 개선할점들을 선택하셨습니다. 30평의 공간을 충분히 활용한 특히 공간별 
수납을 강화하여 정리정돈이 강화된 리모델링으로 거실윌플릭스,거실코너수납장,작은방윌플랙스,안방붙박이장,현관수납장,
발코니수납장등이 시공되고 전체 샷시교체공사와 현관중문 공사로 공간위 내구성을 강화하고 작은방확장공사와 부분별 단열공사로 
공간의 효율성과 내구성을 높였습니다.주방 또한 ㄱ자형태의 씽크대와 김치냉자고장,키큰장,냉장고장2대 등으로 수납을 충분히 할수 있는 리모델링으로 
욕실은 모던한 톤온톤의 그레이 욕실리모델링으로 전체  화이트베이스에 그레이컬러가 포인트로 시공되어 심플하고 모던하게 연출되었습니다.","케일디자인",24/04/23,0,61460
95,"낭만적인 침실 만들기: 드림 캐쳐와 함께"," 이번 시간에 소개해 드릴 현장은 경기도 성남시에 소재한 래미안 위례 거실 인테리어에요. 
래미안 위례의 경우 여러분들께 공간별로 소개해 드리려 합니다~ 
래미안 위례 거실을 한마디로 표현한다면 여유로움 속 트렌디함이라 표현할 수 있겠네요!","케일디자인",24/04/23,0,61460
96,"우아한 여성스러움: 파스텔 톤으로 완성하는 홈 인테리어","화이트와 그레이의 모던하고 심플한 컨셉으로 유행을 타지 않는 고객님들께서 선호하시는 연출입니다. KCC샷시교체공사, 
거실확장공사와 현관공간분리공사로 공간의 확장성과 효율성을 높이고 단열공사를 진행하여 기존의 곰팡이제거와 내구성을 강화하였습니다.
거실과 주방을 포세린타일시공으로 고급스러움을 침실은 KCC장판시공으로,거실아트월에 디자인월판넬시공으로 밋밋한 공간을 멋을 더해주고, 
주방은 약간의 구조변경을 하여 ㄱ자씽크대와 아일랜드식탁구성으로 효율적인 공간으로 욕실은 화이트와 그레이컬러의 조화로 청결한 욕실로,
전체 LED조명과 매입조명시공으로 공간에 화사함을 더했습니다.철저한준비와 정확한 시공으로 마감지어 고객님의 만족도를 높였습니다.","에디인테리어",24/04/23,0,11727
97,"홈 짐 설치하기: 건강을 위한 개인 운동 공간","대림 1,2차 아파트 입니다. 저희가 맡게 된 현장은 24평 크기의 2베이 구조를 지닌 구축 아파트 입니다.
신혼부부께서 거주하실 곳으로 좀 더 넓은 생활 공간이 필요했기에 거실과 방의 발코니를 확장해 공간을 더 효율적으로 설계할 수 있었던 것 같습니다.","에디인테리어",24/04/23,0,11727
98,"빈티지 산업적 믹스: 로프트 아파트의 재구성","요즘은 아파트매매현장도 있지만 보관이사리모델링 문의가 많으신데요, 기존의 살림살이를 정리정돈하고 오래되고 낡은것들을 정리하는 
과정으로 생각하시면 될거 같아요. 또 오래 거주하셨던 공간이라 무엇을 고치고 재활용할지 결정하기가 수월하죠. 살면서 불편했던 부분들을 
보완할수 있는 장점이 있습니다. 전체 샷시교체공사,거실확장,주방확장,작은방확장,단열공사등 공간의 내구성과 확장성을 확보하는 중요한 
공사가 진행되고 침실3개 공간에 공간별 붙박이장이 시공되어 수납을 강화하였습니다. 확장공사로 넓어진 거실공간은 TV아트월 목공사로 
심플하게,주방은 ㄱ자씽크대와 키큰수납장시공,욕실은 전체리모델링으로 톤온톤의 그레이컬러로 모던하게,현관은 파티션과 
신발장띄움시공과 낮은 수납장을 시공하여 공간의 효율성을 높였습니다.","에디인테리어",24/04/23,0,11727
99,"극장 같은 집: 홈 시어터 디자인 사례","욕실공사: 거실욕실,안방욕실
도배공사; 전체 씰크벽지(신한벽지)
바닥공사: KCC모노륨장판(2.2T)
가구공사: 현관신발장(우드패털,띄움시공,간접조명)
필림공사: 문틀,문선,거실기둥,거실등박스,현관파티션,현관문리폼,안방앞창고장리폼,
타일공사: 주방,현관,발코니
도장공사: 안방앞발코니,주방발코니(바이오세라믹탄성코트)
조명공사: 전체LED조명,LED방등,3인치다운라이트조명매입,조명배선증설,인터넷랜선매입,현관센서등,발코니조명.콘센트신설,감지기,스위치교체
기타공사; LED벽시계,빨래건조대, 입주청소(전문청소업체).도어락,현관줄눈코팅,기타등등.","에디인테리어",24/04/23,0,11727
100,"공간을 살리는 감성 조명: 무드 있는 인테리어","오늘 포스팅에서 소개해 드릴 인테리어 시공 현장은 22평형 아파트입니다.
이번 시공 현장은 전체적인 변화보다는 특정 공간에 초점을 맞춘 부분 리모델링으로 진행되었습니다.","에디인테리어",24/04/23,0,11727
101,"색다른 경험, 북 카페 스타일 주거 공간","이번에 소개해 드릴 시공 사례는 짙은 우드 마감재들을 걷어낸 후에 화이트 톤을 베이스로 선명하고 깨끗한 
미니멀 인테리어로 지향해 꾸며질 수 있었던 현장이었는데요. 기존 주방 
가벽 철거 시공과 함께 특히 단열, 방수에 신경 써 공사가 진행되었습니다 :D 49평형 구옥 
아파트 인테리어 현장으로 넓은 공간이 미니멀 스타일로 어떻게 연출되었는지 지금부터 자세히 공간별로 소개해 드릴 테니 집중 부탁드립니다 :)","웰가디자인",24/04/23,0,62158
